Species,Habitat,Water_Type,MatchSpecies,MatchGenus,fineness,CBL_med,CBL_max,CBL_mn,d_med,d_max,d_mn,alphaAnt_med,alphaAnt_max,alphaAnt_mn,alphaPos_med,alphaPos_max,alphaPos_mn,DAnt_med,DAnt_max,DAnt_mn,DPos_med,DPos_max,DPos_mn,dBW_med,dBW_max,dBW_mn,DAntBW_med,DAntBW_max,DAntBW_mn,DPosBW_med,DPosBW_max,DPosBW_mn,d_normCBL_med,d_normCBL_max,d_normCBL_mn,d_normD_med,d_normD_max,d_normD_mn,Iratio_med,Iratio_max,Iratio_mn,d_80,CBL_80,alphaPos_80,alphaAnt_80,DPos_80,DAnt_80,dBW_80,DAntBW_80,DPosBW_80,d_normCBL_80,d_normD_80,Iratio_80,d_slope,CBL_slope,alphaPos_slope,alphaAnt_slope,DPos_slope,DAnt_slope,dBW_slope,DAntBW_slope,DPosBW_slope,d_normCBL_slope,d_normD_slope,Iratio_slope,d_quad,CBL_quad,alphaPos_quad,alphaAnt_quad,DPos_quad,DAnt_quad,dBW_quad,DAntBW_quad,DPosBW_quad,d_normCBL_quad,d_normD_quad,Iratio_quad,d_order,CBL_order,alphaPos_order,alphaAnt_order,DPos_order,DAnt_order,dBW_order,DAntBW_order,DPosBW_order,d_normCBL_order,d_normD_order,Iratio_order,FullName,Family,Tip,CBL_vtx,alphaPos_vtx,alphaAnt_vtx,d_vtx,DAnt_vtx,DPos_vtx
Abramis_brama,pelagic,freshwater,alburnus,Alburnus,8.952156735,0.01664552238805979,0.01772611940298506,0.01628768656716421,8.500000000000001e-4,0.0018,0.001,88.71505,93.9381,88.28855,84.15735000000001,86.8924,83.27525,0.0155,0.016,0.01535,0.01515,0.016,0.01496666666666666,0.00768282099999999,0.016033714,0.0088630805,0.1386248155,0.142833665,0.1372664035,0.1354180725,0.142833665,0.13381470116666666,0.05489329948567451,0.1107794056859406,0.06147973638977967,0.05791964904179174,0.11688311688311688,0.06570471817323693,0.9999881450040472,0.9999968569915824,0.9999595096327012,0.00121428571428571,0.01660037313432842,84.13329999999999,85.43882857142856,0.01517857142857142,0.0153,0.0106700547142857,0.13677330321428577,0.135694845,0.07284180513287855,0.07867212313816438,0.9999369527486726,0.00921428571428569,-0.02809301705756953,-64.27657142857112,107.00671428571472,-0.01403571428571422,-0.02771428571428561,0.08560857714285694,-0.2491429139285712,-0.12158899071428551,0.562448333653053,0.5918370461593605,-2.919042786790916e-4,-0.00619047619047617,0.02250621890547297,55.95309523809501,-98.53357142857176,0.01130952380952376,0.0204761904761904,-0.05853577857142841,0.18403776547619033,0.09798380238095228,-0.38476991043023967,-0.4000567331520094,1.2516513967443773e-4,2,2,2,2,2,2,2,2,2,2,2,2,Leuciscidae_Alburnus_alburnus_I2696-175,Leuciscidae,216,1.2482335293885365,1.1487581009604124,1.085992446374333,1.4884615384615396,1.353488372093023,1.241052631578947
Alectis_ciliaris,demersal,marine,ciliaris,Alectis,8.754754029,0.03462828535669592,0.03567209011264081,0.03260523571130581,0.0017,0.0045,0.00218333333333333,76.5827,89.624,78.15756666666667,76.10925,86.3325,76.7483,0.0258,0.0292,0.02595,0.0271,0.0283,0.02608333333333333,0.015113313,0.039118657,0.0191531875,0.2261229885,0.255888773,0.22733409783333333,0.237221361,0.247538183,0.22838240633333337,0.04927499826909835,0.20182996996828445,0.07488105524474764,0.05964912280701755,0.2054794520547945,0.08811577444270019,0.999969898752378,0.999999660140488,0.9995993534240568,7.807142857142891e-4,0.03587215716073662,74.70164571428577,73.89042142857147,0.02732285714285713,0.0275085714285714,0.00696836502142862,0.24096899139999975,0.23922130067142844,0.01489268441726543,0.02455836063401451,1.0001523376217722,-0.0257178571428573,0.1882267343107464,-100.36917142857064,-107.93282142857122,0.11498571428571432,0.11262857142857166,-0.2192271646785728,0.9777035602857168,0.9998470007857132,-1.690908298794059,-1.5249202485223945,0.02187785113986836,0.01303571428571441,-0.13256861255140423,69.07285714285658,63.30678571428556,-0.08500000000000008,-0.08142857142857166,0.10990753392857253,-0.706304285714288,-0.7387866678571426,1.028218799955538,0.8770652573610968,-0.01448863791114227,2,2,2,2,2,2,2,2,2,2,2,2,Carangidae_Alectis_ciliaris_E00469,Carangidae,1032,1.4198438882941498,1.4530913528158678,1.7049170987086701,1.9728767123287603,1.383157894736841,1.3527731092436965
Alosa_pseudoharengus,pelagic,anadromous,pseudoharengus,Alosa,7.389719098,0.01654534398888117,0.01734954829742881,0.01602756543896227,0.00334999999999999,0.004,0.00331666666666666,86.9591,101.3525,89.14675,91.08,95.8023,91.543,0.01625,0.0166,0.01596666666666666,0.01615,0.0169,0.01621666666666666,0.0249576335,0.029579418,0.0246067205,0.1200893545,0.122631336,0.118112258,0.119344734,0.124942228,0.119883942,0.20429978503757296,0.23621627167333537,0.2058090038137335,0.20589735355786848,0.2416918429003021,0.2055240128820318,0.9982014215661464,0.9995274878822282,0.998008894256528,0.00346428571428571,0.01641437506204708,91.61827857142862,85.46269285714286,0.01619285714285714,0.01587142857142856,0.02567290964285714,0.11746667542857138,0.1197555592142857,0.211649168608066,0.21606514314051112,0.9978384140824996,0.0173928571428571,0.04694207286806272,-125.25889285714253,-84.04632142857092,0.01546428571428573,0.02364285714285719,0.12777765535714267,0.1768015778571428,0.11026256250000004,0.5326974372239199,0.8527128604610722,-0.02556222352633545,-0.01321428571428568,-0.03572917700784233,98.59273809523786,50.77892857142819,-0.01250000000000001,-0.01952380952380956,-0.09714305357142844,-0.1455006071428571,-0.08901213690476195,-0.39748837529537334,-0.6304898345591534,0.0196675572897831,2,2,2,2,2,2,2,2,2,2,2,2,Clupeidae_Alosa_pseudoharengus_G01195,Clupeidae,59,1.3138302306196201,1.270467737047184,1.6551416855979375,1.3162162162162163,1.2109756097560977,1.2371428571428575
Amia_calva,demersal,freshwater,calva,Amia,6.71950057,0.00982788595271213,0.0112896383866481,0.00878714649976821,0.0056,0.007,0.00558333333333333,131.8089,143.0377,131.50296666666668,122.36705,141.4651,126.51306666666667,0.01915,0.0202,0.01823333333333333,0.0186,0.0199,0.0177,0.0375614705,0.047250163,0.03756281283333333,0.12892981850000002,0.135877766,0.122596587,0.12493238,0.133776847,0.1189060025,0.5143469893348926,1.2491158404169451,0.7325227475971174,0.30803740679893843,0.4347826086956522,0.3200680994855377,0.990359097901786,0.9982514505494624,0.9848700053806272,0.00637857142857142,0.00753929068150209,130.86378571428574,133.3344571428571,0.01577142857142857,0.01652142857142857,0.04298730992857143,0.11109386707142854,0.10586650907142856,0.9834996424234044,0.3951153791733031,0.9750109127291814,0.0236785714285714,0.05634859924498325,-272.9039285714273,-293.9649285714276,-0.0078571428571429,0.00289285714285722,0.1603807460714283,0.01747925750000024,-0.05296817107142825,-2.1476301616048845,0.8254864710132501,0.0501282043190298,-0.01464285714285712,-0.0520382144512883,241.0240476190467,245.64642857142783,-0.00476190476190472,-0.01202380952380958,-0.0989267726190474,-0.0792872583333335,-0.03232535833333355,3.0912538068587496,-0.25256969633211507,-0.0917583483203058,2,2,2,2,2,2,2,2,2,2,2,2,Amiidae_Amia_calva_E00461,Amiidae,18,1.0828311432116833,1.1322684656045967,1.19669937918902,1.6170731707317079,0.24059405940594586,-1.6500000000000234
Ammodytes_personatus,benthic,marine,dubius,Ammodytes,16.87886312,0.01320041079812204,0.01408372456964008,0.01325120631194573,0.0023,0.0043,0.0026,67.78435,75.1987,65.97771666666667,64.75215,68.91,64.36175,0.0084,0.0092,0.00825,0.00879999999999999,0.0096,0.00888333333333333,0.0382658625,0.072181605,0.04366949,0.1416123915,0.15592577,0.139037789,0.1480174735,0.162727828,0.1497674365,0.17744760561022505,0.3331908508026024,0.19738393561382797,0.2730186685452624,0.4673913043478261,0.30326668427480924,0.9944412667955465,0.9984350671624882,0.9866489642786496,0.00267142857142857,0.01318332215515312,65.4624857142857,60.03528571428571,0.00875714285714286,0.00762142857142856,0.0449277022142857,0.12825062121428568,0.14747745292857142,0.2029924522961351,0.3252318319438878,0.9852301270015756,0.0032142857142857,-0.00341954504806672,2.057785714286038,-3.024714285714605,-0.00557142857142859,0.00317857142857144,0.03707642107142846,0.04447406178571508,-0.08698427035714247,0.3073625634044485,0.31670407416933316,-0.14920902435590505,-0.0026190476190476,0.00266459870333154,1.8928571428569092,-31.782380952380706,0.00333333333333335,-0.00583333333333334,-0.03023946547619037,-0.09196441547619108,0.0498001464285712,-0.2517272050819549,-0.17597698594891173,0.11592812655539554,2,2,2,2,2,2,2,2,2,2,2,2,Ammodytidae_Ammodytes_dubius_N02375,Ammodytidae,1696,1.2833245936025086,-1.0871320754720033,-0.09516953088714503,1.2272727272727308,0.5448979591836748,1.6714285714285686
Anodontostoma_chacunda,pelagic,freshwater,cepedianum,Dorosoma,4.663323152,0.02280188679245284,0.02377830188679247,0.02272248427672957,7.999999999999999e-4,0.0016,9.666666666666668e-4,84.57849999999999,91.6076,84.81811666666667,85.1935,88.8691,85.5487,0.02099999999999999,0.0226,0.02103333333333333,0.0223,0.0226,0.02168333333333333,0.003905881,0.007229049,0.0044943665,0.097984864,0.105425005,0.09813437883333331,0.103873364,0.105388955,0.10111189433333334,0.03496708169042403,0.06894108765715276,0.0423738722459939,0.03774163679639171,0.07095343680709534,0.04501973071204513,0.9999974450932222,0.9999994155248296,0.9999911997226196,8.363095238095227e-4,0.02318340874085482,84.48233154761903,81.68560892857143,0.02157738095238095,0.02082559523809523,0.00394216222023808,0.09714213654166666,0.10068669163095235,0.03572755482913924,0.03896301773341456,0.9999944534141296,0.00472023809523809,0.03738303812090884,45.29363690476209,-0.03941071428552983,0.02627380952380955,0.0242916666666667,0.01985100077380952,0.11300606684523802,0.12081792488095236,0.12208161397338436,0.16631711357332676,-1.230313378992993e-4,-0.00458333333333333,-0.02730394044410229,-41.799702380952525,-16.83017857142871,-0.02154761904761907,-0.02029761904761907,-0.01935440297619048,-0.09445450892857138,-0.09882913452380952,-0.13878478660119706,-0.1708050729499129,1.1676464515211944e-4,2,2,2,2,2,2,2,2,2,2,2,2,Clupeidae_Dorosoma_cepedianum_E01016,Clupeidae,60,1.3691444353037936,1.0835875454797903,-0.002341669407621993,1.0298701298701294,1.1967741935483873,1.2193370165745856
Anoplogaster_cornuta,pelagic,marine,cornuta,Anoplogaster,5.042162219,0.02870565144902862,0.03287373699561338,0.02856629932771257,8e-4,0.0013,9.6e-4,68.0663,74.7481,68.50562,60.4094,65.7786,59.96066,0.0198,0.0201,0.01896,0.0177,0.0189,0.01774,0.004120017,0.006704387,0.0048412726,0.099607718,0.101583965,0.0955558828,0.089179243,0.095260127,0.0894178312,0.02910540251046014,0.04612218953501656,0.03335337499753194,0.04375,0.0695187165775401,0.05196131929684826,0.999996336364746,0.9999978355842531,0.9999895873600796,8.07142857142857e-4,0.02716259438067201,61.32491000000001,68.57907714285717,0.01720071428571428,0.018185,0.00412187257857143,0.09155253342142858,0.08675359934285717,0.02973422498110061,0.04557399797443084,0.9999937371979892,0.00132142857142856,0.02578839408554434,-102.29995000000017,-24.6169714285721,-0.00253214285714288,0.01788928571428564,0.00707211967857141,0.0921042488928567,-0.01351041400000044,0.02339623001938717,0.06394467140082424,-8.277511122662594e-5,-0.00202380952380951,-0.02908536115760152,90.64116666666672,15.063047619048104,-0.0021785714285714,-0.02044047619047612,-0.01031529083333331,-0.10517375678571392,-0.00995793142857111,-0.04268005457860494,-0.08922163392442227,9.082657193118554e-5,2,2,2,2,2,2,2,2,2,2,2,2,Anoplogastridae_Anoplogaster_cornuta_E00662,Anoplogastridae,648,0.8866451389689721,1.1286256980363973,1.6342623386148298,0.652941176470587,0.8751892836342451,-1.1622950819672389
Aphareus_furca,pelagic,marine,furca,Aphareus,5.012241139,0.03121475487531058,0.03340896263793003,0.03116921397345624,7.999999999999999e-4,0.0013,8.666666666666666e-4,67.59275,77.8479,68.9585,63.28665,71.6108,63.78005,0.0217,0.0227,0.02178333333333333,0.022,0.0223,0.02166666666666666,0.00397817999999999,0.00652477,0.004303088,0.10868348,0.113736792,0.10915040233333334,0.1102361305,0.111771933,0.10854125083333334,0.02565947802914457,0.04297833813565918,0.02785059108533555,0.03693306383479312,0.06220095693779903,0.03999519777731871,0.9999980035702514,0.999999410106788,0.999995921812818,9.93571428571428e-4,0.03239085427418413,62.47240571428576,65.42432000000002,0.02163785714285715,0.02187071428571429,0.00500624117142856,0.10954466475714288,0.10830106837857144,0.03095915165623592,0.04581736828227274,0.9999939933378944,0.0037607142857143,0.01168275561670722,-222.57819999999975,-134.3334857142861,-0.0201464285714288,-0.0063678571428573,0.01898883328571439,-0.03648749792857161,-0.10285285075000088,0.11950279764165228,0.20298974226682287,-1.2068385358211856e-4,-0.00232142857142858,-0.00281826393864531,170.33142857142852,88.22571428571459,0.01589285714285731,0.00553571428571439,-0.01139029285714294,0.03115426785714298,0.08064289464285782,-0.07867358801069442,-0.13075906638089935,8.588019352254063e-5,2,2,2,2,2,2,2,2,2,2,2,2,Lutjanidae_Aphareus_furca_E00563,Lutjanidae,1577,4.145373134328545,1.306735943370906,1.5226114835324969,1.62,1.150322580645168,1.2676404494382034
Apodichthys_flavidus,benthic,marine,crassispina,Pholis,19.39483536,0.01131435947873124,0.01191517088763217,0.01104753708712401,0.00105,0.0012,0.00103333333333333,91.48065,97.7826,90.76853333333334,65.4859,71.6535,65.94158333333333,0.0083,0.009,0.00811666666666666,0.0097,0.0103,0.00925,0.0197141615,0.023076818,0.01983552783333333,0.16043782499999998,0.175116979,0.1570765625,0.1878312485,0.200044361,0.17902825966666666,0.09618177924027856,0.10860604000776848,0.09400145117908634,0.12574481865284975,0.145985401459854,0.12098858774297422,0.9997368595488574,0.9999464063291738,0.9997463010990484,0.00104583333333333,0.0105253177432763,63.6325119047619,88.33782738095236,0.00842857142857142,0.00741488095238095,0.02008042349999999,0.14334804282738095,0.1630344809880952,0.09973132537667016,0.13381120126265805,0.999646525787362,6.547619047619067e-5,0.00837912144203633,41.72376190476186,10.015988095238365,0.01371428571428574,0.00411309523809524,0.00629299964285721,0.0857229297023814,0.2684151234523812,-0.06464210591770206,-0.1287593671590817,8.387591641360403e-4,5.952380952380917e-5,-0.00928531911904176,-43.82071428571425,-22.980595238095457,-0.01500000000000003,-0.0068452380952381,-0.00342106547619053,-0.13818454464285754,-0.29320374166666696,0.08458951082032001,0.17329769509324944,-0.00120762757728075,2,2,2,2,2,2,2,2,2,2,2,2,Pholidae_Pholis_crassispina_G01437,Pholidae,1248,0.9024053276589001,0.9521470059278333,0.435845459678722,-1.1000000000000096,0.6008695652173912,0.9142857142857141
Apteronotus_cuchillejo,demersal,freshwater,albifrons,Apteronotus,14.40522698,0.02202136608344548,0.02277590847913864,0.02182901525347689,0.00145,0.0021,0.00138333333333333,59.70525,66.0082,58.345216666666666,56.6545,59.3298,54.474383333333336,0.01205,0.013,0.01186666666666666,0.01225,0.013,0.01163333333333333,0.02116215,0.030496646,0.02001171066666667,0.1738549015,0.187620317,0.171072305,0.1765629305,0.187275743,0.16744192583333334,0.0668950792887053,0.10280687882980832,0.06411652588963349,0.11602564102564104,0.17073170731707316,0.11457969255225352,0.9998187427286344,0.9999926414018796,0.9997030970183004,0.00100178571428571,0.02253612085816828,50.98249999999999,53.05586071428571,0.0108095238095238,0.01141130952380952,0.01433832880952379,0.1644744458214285,0.15553114910714275,0.04438398972917342,0.0859458987165356,0.9998867468545566,0.00687499999999999,0.02400702188681682,131.46589285714276,27.47917857142858,0.03634523809523805,0.03107738095238089,0.10188628666666658,0.4489822567857144,0.5231591471428572,0.2318219701565579,0.24652444955172076,-9.729583405333968e-4,-0.0075595238095238,-0.01543793661475376,-125.1396428571428,-50.54511904761906,-0.03369047619047617,-0.02744047619047615,-0.1119591547619047,-0.3964016750000001,-0.4849389523809523,-0.29235164656707324,-0.35039742334811946,0.00173257473759778,2,2,2,2,2,2,2,2,2,2,2,2,Apteronotidae_Apteronotus_albifrons_P1_C09_RG93,Apteronotidae,248,1.555066747966418,1.050553524491211,0.5436564220086251,0.9094488188976376,1.1325379609544464,1.0787985865724374
